2108447,897,macrobrachium rosenbergii dicistrovirus 2
2072391,1336,dikerogammarus haemobaphes bi-facies-like virus
2058759,2685,idotea virus iwav278
2054920,3098,chequa iflavirus,VHostDB
2039780,5894,shrimp hemocyte iridescent virus
2035708,6642,cherax quadricarinatus iridovirus
1923746,20923,wuhan pillworm virus 3,VHostDB
1923745,20924,wuhan pillworm virus 2,VHostDB
1923744,20925,wuhan pillworm virus 1,VHostDB
1923715,20954,wuhan insect virus 11,VHostDB
1923691,20978,wuhan arthropod virus 2,VHostDB
1923656,21013,wenzhou shrimp virus 9,VHostDB
1923655,21014,wenzhou shrimp virus 8,VHostDB
1923652,21017,wenzhou shrimp virus 5,VHostDB
1923650,21019,wenzhou shrimp virus 3,VHostDB
1923644,21025,wenzhou picorna-like virus 7,VHostDB
1923612,21057,wenzhou picorna-like virus 27,VHostDB
1923602,21067,wenzhou picorna-like virus 18,VHostDB
1923578,21091,wenzhou narna-like virus 3,VHostDB
1923577,21092,wenzhou narna-like virus 2,VHostDB
1923424,21245,shahe isopoda virus 4
1923400,21269,sanxia water strider virus 16,VHostDB
1923393,21276,sanxia tombus-like virus 9,VHostDB
1923388,21281,sanxia tombus-like virus 4,VHostDB
1923387,21282,sanxia tombus-like virus 3,VHostDB
1923386,21283,sanxia tombus-like virus 2,VHostDB
1923385,21284,sanxia tombus-like virus 1,VHostDB
1923378,21291,sanxia picorna-like virus 9,VHostDB
1923377,21292,sanxia picorna-like virus 8,VHostDB
1923374,21295,sanxia picorna-like virus 5,VHostDB
1923373,21296,sanxia picorna-like virus 4,VHostDB
1923372,21297,sanxia picorna-like virus 3,VHostDB
1923371,21298,sanxia picorna-like virus 2,VHostDB
1923370,21299,sanxia picorna-like virus 13,VHostDB
1923369,21300,sanxia picorna-like virus 12,VHostDB
1923368,21301,sanxia picorna-like virus 11,VHostDB
1923367,21302,sanxia picorna-like virus 10,VHostDB
1923366,21303,sanxia picorna-like virus 1,VHostDB
1923360,21309,sanxia narna-like virus 1,VHostDB
1923358,21311,sanxia atyid shrimp virus 4,VHostDB
1923357,21312,sanxia atyid shrimp virus 3,VHostDB
1923355,21314,sanxia atyid shrimp virus 1,VHostDB
1923354,21315,sanxia qinvirus-like virus 1,VHostDB
1923266,21403,hubei tombus-like virus 2,VHostDB
1923257,21412,hubei tombus-like virus 11,VHostDB
1923162,21507,hubei picorna-like virus 78,VHostDB
1923156,21513,hubei picorna-like virus 72,VHostDB
1923153,21516,hubei picorna-like virus 7,VHostDB
1923102,21567,hubei picorna-like virus 22,VHostDB
1923088,21581,hubei picorna-like virus 1,VHostDB
1922824,21845,changjiang zhaovirus-like virus 1,VHostDB
1922823,21846,changjiang tombus-like virus 9,VHostDB
1922822,21847,changjiang tombus-like virus 8,VHostDB
1922821,21848,changjiang tombus-like virus 7,VHostDB
1922820,21849,changjiang tombus-like virus 6,VHostDB
1922819,21850,changjiang tombus-like virus 5,VHostDB
1922818,21851,changjiang tombus-like virus 4,VHostDB
1922817,21852,changjiang tombus-like virus 3,VHostDB
1922816,21853,changjiang tombus-like virus 22,VHostDB
1922815,21854,changjiang tombus-like virus 21,VHostDB
1922814,21855,changjiang tombus-like virus 20,VHostDB
1922813,21856,changjiang tombus-like virus 2,VHostDB
1922812,21857,changjiang tombus-like virus 19,VHostDB
1922811,21858,changjiang tombus-like virus 18,VHostDB
1922810,21859,changjiang tombus-like virus 17,VHostDB
1922809,21860,changjiang tombus-like virus 16,VHostDB
1922808,21861,changjiang tombus-like virus 15,VHostDB
1922807,21862,changjiang tombus-like virus 14,VHostDB
1922805,21864,changjiang tombus-like virus 12,VHostDB
1922804,21865,changjiang tombus-like virus 11,VHostDB
1922803,21866,changjiang tombus-like virus 10,VHostDB
1922802,21867,changjiang tombus-like virus 1,VHostDB
1922801,21868,changjiang sobemo-like virus 2,VHostDB
1922800,21869,changjiang sobemo-like virus 1,VHostDB
1922799,21870,changjiang polero-like virus 1,VHostDB
1922798,21871,changjiang picorna-like virus 9,VHostDB
1922797,21872,changjiang picorna-like virus 8,VHostDB
1922796,21873,changjiang picorna-like virus 7,VHostDB
1922795,21874,changjiang picorna-like virus 6,VHostDB
1922794,21875,changjiang picorna-like virus 5,VHostDB
1922793,21876,changjiang picorna-like virus 4,VHostDB
1922792,21877,changjiang picorna-like virus 3,VHostDB
1922791,21878,changjiang picorna-like virus 2,VHostDB
1922789,21880,changjiang picorna-like virus 16,VHostDB
1922788,21881,changjiang picorna-like virus 15,VHostDB
1922787,21882,changjiang picorna-like virus 14,VHostDB
1922786,21883,changjiang picorna-like virus 13,VHostDB
1922785,21884,changjiang picorna-like virus 12,VHostDB
1922784,21885,changjiang picorna-like virus 11,VHostDB
1922783,21886,changjiang picorna-like virus 10,VHostDB
1922782,21887,changjiang picorna-like virus 1,VHostDB
1922779,21890,changjiang narna-like virus 4,VHostDB
1922778,21891,changjiang narna-like virus 3,VHostDB
1922777,21892,changjiang narna-like virus 2,VHostDB
1922776,21893,changjiang narna-like virus 1,VHostDB
1922772,21897,changjiang hepe-like virus 1,VHostDB
1922771,21898,changjiang crawfish virus 7,VHostDB
1922770,21899,changjiang crawfish virus 6,VHostDB
1922769,21900,changjiang crawfish virus 5,VHostDB
1922768,21901,changjiang crawfish virus 4,VHostDB
1922767,21902,changjiang crawfish virus 3,VHostDB
1922766,21903,changjiang crawfish virus 2,VHostDB
1922765,21904,changjiang crawfish virus 1,VHostDB
1922764,21905,changjiang astro-like virus,VHostDB
1922758,21911,beihai zhaovirus-like virus 2,VHostDB
1922736,21933,beihai uca arcuata virus 1,VHostDB
1922728,21941,beihai tombus-like virus 7,VHostDB
1922719,21950,beihai tombus-like virus 16,VHostDB
1922718,21951,beihai tombus-like virus 15,VHostDB
1922712,21957,beihai tombus-like virus 1,VHostDB
1922710,21959,beihai sphaeromadae virus 4,VHostDB
1922707,21962,beihai sphaeromadae virus 1,VHostDB
1922699,21970,beihai sobemo-like virus 27,VHostDB
1922696,21973,beihai sobemo-like virus 24,VHostDB
1922694,21975,beihai sobemo-like virus 22,VHostDB
1922690,21979,beihai sobemo-like virus 19,VHostDB
1922686,21983,beihai sobemo-like virus 15,VHostDB
1922684,21985,beihai sobemo-like virus 13,VHostDB
1922672,21997,beihai shrimp virus 6,VHostDB
1922671,21998,beihai shrimp virus 5,VHostDB
1922670,21999,beihai shrimp virus 4,VHostDB
1922669,22000,beihai shrimp virus 3,VHostDB
1922668,22001,beihai shrimp virus 2,VHostDB
1922667,22002,beihai shrimp virus 1,VHostDB
1922666,22003,beihai sesarmid crab virus 7,VHostDB
1922665,22004,beihai sesarmid crab virus 5
1922664,22005,beihai sesarmid crab virus 4,VHostDB
1922663,22006,beihai sesarmid crab virus 3,VHostDB
1922662,22007,beihai sesarmid crab virus 2,VHostDB
1922661,22008,beihai sesarmid crab virus 1,VHostDB
1922660,22009,beihai sea slater virus 4,VHostDB
1922659,22010,beihai sea slater virus 3,VHostDB
1922658,22011,beihai sea slater virus 2,VHostDB
1922657,22012,beihai sea slater virus 1,VHostDB
1922656,22013,beihai rhabdo-like virus 6,VHostDB
1922652,22017,beihai rhabdo-like virus 2,VHostDB
1922651,22018,beihai rhabdo-like virus 1,VHostDB
1922644,22025,beihai picorna-like virus 99,VHostDB
1922639,22030,beihai picorna-like virus 93,VHostDB
1922638,22031,beihai picorna-like virus 91,VHostDB
1922637,22032,beihai picorna-like virus 90,VHostDB
1922636,22033,beihai picorna-like virus 9,VHostDB
1922634,22035,beihai picorna-like virus 87,VHostDB
1922631,22038,beihai picorna-like virus 83,VHostDB
1922630,22039,beihai picorna-like virus 82,VHostDB
1922626,22043,beihai picorna-like virus 79,VHostDB
1922618,22051,beihai picorna-like virus 71,VHostDB
1922617,22052,beihai picorna-like virus 70,VHostDB
1922609,22060,beihai picorna-like virus 63,VHostDB
1922596,22073,beihai picorna-like virus 51,VHostDB
1922591,22078,beihai picorna-like virus 47,VHostDB
1922588,22081,beihai picorna-like virus 44,VHostDB
1922586,22083,beihai picorna-like virus 42,VHostDB
1922585,22084,beihai picorna-like virus 41,VHostDB
1922566,22103,beihai picorna-like virus 23,VHostDB
1922563,22106,beihai picorna-like virus 20,VHostDB
1922561,22108,beihai picorna-like virus 19,VHostDB
1922553,22116,beihai picorna-like virus 124,VHostDB
1922550,22119,beihai picorna-like virus 121,VHostDB
1922545,22124,beihai picorna-like virus 116,VHostDB
1922542,22127,beihai picorna-like virus 113,VHostDB
1922541,22128,beihai picorna-like virus 112,VHostDB
1922539,22130,beihai picorna-like virus 110,VHostDB
1922529,22140,beihai picorna-like virus 101,VHostDB
1922497,22172,beihai paphia shell virus 2,VHostDB
1922483,22186,beihai noda-like virus 29,VHostDB
1922471,22198,beihai noda-like virus 18,VHostDB
1922464,22205,beihai noda-like virus 11,VHostDB
1922455,22214,beihai narna-like virus 3,VHostDB
1922452,22217,beihai narna-like virus 24,VHostDB
1922450,22219,beihai narna-like virus 22,VHostDB
1922449,22220,beihai narna-like virus 21,VHostDB
1922444,22225,beihai narna-like virus 17,VHostDB
1922442,22227,beihai narna-like virus 15,VHostDB
1922440,22229,beihai narna-like virus 13,VHostDB
1922433,22236,beihai mantis shrimp virus 6,VHostDB
1922432,22237,beihai mantis shrimp virus 5,VHostDB
1922431,22238,beihai mantis shrimp virus 4,VHostDB
1922430,22239,beihai mantis shrimp virus 3,VHostDB
1922429,22240,beihai mantis shrimp virus 2,VHostDB
1922428,22241,beihai mantis shrimp virus 1,VHostDB
1922391,22278,beihai hermit crab virus 4,VHostDB
1922390,22279,beihai hermit crab virus 3,VHostDB
1922389,22280,beihai hermit crab virus 2
1922388,22281,beihai hermit crab virus 1,VHostDB
1922370,22299,beihai blue swimmer crab virus 3,VHostDB
1922369,22300,beihai blue swimmer crab virus 2
1922368,22301,beihai blue swimmer crab virus 1,VHostDB
1922353,22316,beihai astro-like virus,VHostDB
1922242,22334,macrobrachium satellite virus 1
1825681,32391,chionoecetes opilio bacilliform virus
1811230,33756,callinectes sapidus reovirus 1,VHostDB
1692263,44410,sicyonia brevirostris associated circular virus,VHostDB
1692261,44412,petrochirus diogenes giant hermit crab associated circular virus,VHostDB
1692259,44414,palaemonetes sp. common grass shrimp associated circular virus,VHostDB
1692258,44415,palaemonetes kadiakensis mississippi grass shrimp associated circular virus,VHostDB
1692257,44416,palaemonetes intermedius brackish grass shrimp associated circular virus,VHostDB
1692252,44421,hermit crab associated circular virus,VHostDB
1692250,44423,gammarus sp. amphipod associated circular virus,VHostDB
1692249,44424,fiddler crab associated circular virus,VHostDB
1692248,44425,farfantepenaeus duorarum pink shrimp associated circular virus,VHostDB
1692246,44427,callinectes sapidus associated circular virus,VHostDB
1692245,44428,callinectes ornatus blue crab associated circular virus,VHostDB
1675544,45678,metopaulias depressus wssv-like virus
1662322,46437,eriocheir sinensis bunya-like virus
1662316,46438,eriocheir sinensis cholera-like virus
1662314,46439,cherax quadricarinatus reovirus
1642018,48884,cherax quadricarinatus densovirus,VHostDB
1635141,49769,macrobrachium nipponense reovirus
1608096,53198,whenzhou shrimp virus 2
1608095,53199,wenzhou shrimp virus 1,VHostDB
1608093,53201,wenzhou crab virus 3,VHostDB
1608092,53202,wenzhou crab virus 2
1604019,53693,blue king crab herpesvirus 1
1593240,58200,penaeus stylirostris densovirus
1529056,64096,penaeus monodon nudivirus,VHostDB
1513228,66098,penaeus stylirostris penstyldensovirus 2
1513227,66099,penaeus monodon penstyldensovirus 2
1513226,66100,penaeus monodon penstyldensovirus 1
1513225,66101,penaeus stylirostris penstyldensovirus 1
1513224,66102,decapod penstyldensovirus 1,VHostDB
1513209,66109,penaeus merguiensis hepandensovirus
1513208,66110,penaeus monodon hepandensovirus 4,VHostDB
1513207,66111,penaeus monodon hepandensovirus 3
1513206,66112,penaeus monodon hepandensovirus 2
1513205,66113,penaeus chinensis hepandensovirus
1513204,66114,penaeus monodon hepandensovirus 1,VHostDB
1419711,75688,penaeus monodon circovirus vn11,VHostDB
1380894,78903,farfantepenaeus duorarum circovirus,VHostDB
1380891,78904,farfantepenaeus duorarum nodavirus
1328799,82781,trichoniscus panormidensis iridescent virus
1328798,82782,porcellio siculoccidentalis iridescent virus
1328797,82783,armadillidium decorum iridescent virus
1299317,88229,diporeia sp. associated circular virus
1226329,96663,scylla paramamosain reovirus
1217568,97196,macrobrachium nudivirus cn-sl2011
1027947,116982,macrobrachium rosenbergii taihu virus,VHostDB
1001264,117903,callinectes sapidus reovirus
932662,122510,mud crab virus,VHostDB
797418,129259,fenneropenaeus chinensis hepandensovirus,VHostDB
654913,144852,shrimp white spot syndrome virus (isolate tongan)
648171,145676,eriocheir sinensis reovirus isolate 905
458682,164741,scylla serrata reovirus sz-2007
449721,166120,acetes erythraeus iridovirus
433832,167917,hiv-like human cancer virus
430911,168108,penaeus vannamei nodavirus,VHostDB
380624,173595,panulirus argus virus 1
343515,176608,penaeus monodon rna virus
282786,180437,penaeid shrimp infectious myonecrosis virus,VHostDB
273810,180687,eriocheir sinensis reovirus
259389,181439,penaeus monodon nucleopolyhedrovirus
222557,182747,macrobrachium rosenbergii nodavirus,VHostDB
182788,184545,penaeus monodon hepatopancreatic parvovirus
142102,186210,taura syndrome virus,VHostDB
139034,186245,penaeus merguiensis densovirus
137756,186298,porcellio scaber iridescent virus
96491,187483,gill-associated virus,VHostDB
96029,187486,yellow head virus,VHostDB
72201,187944,armadillidium vulgare iridescent virus,VHostDB
46615,188773,penaeus monodon nonoccluded baculovirus iii
